epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4722,1.25952,2.99635,1.41007,0.69563,0.6232,0.67583,0.45234,1.19383,2.03072,1.39615,0.000409483,0.000409483,0.000409483
2,151.093,1.2026,1.14252,1.33895,0.37942,0.47115,0.38211,0.24448,1.44653,3.03609,1.65618,0.000817971,0.000817971,0.000817971
3,209.24,1.22165,1.08867,1.36367,0.57471,0.48479,0.49492,0.2361,1.84749,2.75818,1.97745,0.00121821,0.00121821,0.00121821
4,264.811,1.19082,1.02218,1.34095,0.617,0.64604,0.68763,0.34081,1.73971,1.80356,1.80524,0.00121287,0.00121287,0.00121287
5,320.372,1.14875,0.92867,1.3156,0.69409,0.69312,0.7571,0.45461,1.33304,1.51624,1.4806,0.0012005,0.0012005,0.0012005
6,377.295,1.10596,0.87676,1.2912,0.61582,0.68196,0.67428,0.41283,1.31436,1.59171,1.39527,0.00118812,0.00118812,0.00118812
7,434.905,1.06056,0.82621,1.25824,0.75793,0.77731,0.85604,0.63031,0.97276,1.0067,1.20743,0.00117575,0.00117575,0.00117575
8,490.845,1.03651,0.78857,1.24113,0.78444,0.78718,0.8647,0.57607,1.07166,0.91062,1.24569,0.00116337,0.00116337,0.00116337
9,545.714,1.02107,0.76424,1.23559,0.81229,0.80349,0.87224,0.64059,0.96944,0.86839,1.20228,0.001151,0.001151,0.001151
10,600.794,0.99276,0.73805,1.21475,0.84726,0.79671,0.87714,0.64627,0.97063,0.79087,1.19432,0.00113863,0.00113863,0.00113863
11,656.305,0.9772,0.71373,1.21311,0.87088,0.83318,0.90352,0.65521,1.00364,0.71247,1.22023,0.00112625,0.00112625,0.00112625
12,711.183,0.97967,0.69919,1.20618,0.86656,0.87612,0.92196,0.69243,0.92202,0.63859,1.1512,0.00111388,0.00111388,0.00111388
13,766.426,0.96007,0.66803,1.1919,0.84863,0.85837,0.902,0.68328,0.9157,0.72869,1.15483,0.0011015,0.0011015,0.0011015
14,821.655,0.9489,0.66237,1.18134,0.87008,0.83703,0.90952,0.69363,0.89971,0.68503,1.13469,0.00108913,0.00108913,0.00108913
15,876.684,0.93045,0.63443,1.16929,0.88494,0.83572,0.91449,0.68472,0.93555,0.66865,1.16349,0.00107675,0.00107675,0.00107675
16,931.756,0.9196,0.62674,1.16588,0.88595,0.85447,0.91771,0.70784,0.88058,0.65639,1.13564,0.00106437,0.00106437,0.00106437
17,986.734,0.91636,0.61439,1.16446,0.85901,0.87103,0.92245,0.69961,0.94218,0.64734,1.16906,0.001052,0.001052,0.001052
18,1041.01,0.89082,0.59668,1.1456,0.91136,0.81178,0.91297,0.69097,0.93481,0.72655,1.17754,0.00103962,0.00103962,0.00103962
19,1095.28,0.90114,0.59824,1.1507,0.88788,0.89305,0.93558,0.72606,0.90842,0.57276,1.13626,0.00102725,0.00102725,0.00102725
20,1150.15,0.88664,0.58309,1.14518,0.87174,0.83715,0.91542,0.70468,0.94447,0.63817,1.17213,0.00101488,0.00101488,0.00101488
21,1204.75,0.88688,0.56841,1.14211,0.87957,0.8734,0.92596,0.69975,0.92629,0.64793,1.16795,0.0010025,0.0010025,0.0010025
22,1259.08,0.87886,0.56812,1.13098,0.9129,0.89022,0.93828,0.73136,0.88115,0.56265,1.13985,0.000990125,0.000990125,0.000990125
23,1313.65,0.86602,0.56087,1.12825,0.90449,0.89676,0.94303,0.72402,0.88893,0.55035,1.14942,0.00097775,0.00097775,0.00097775
24,1367.83,0.84043,0.54733,1.12137,0.87091,0.88361,0.92551,0.72012,0.89667,0.59349,1.14291,0.000965375,0.000965375,0.000965375
25,1422,0.83775,0.52977,1.11728,0.91579,0.88266,0.94174,0.73712,0.88511,0.54814,1.12907,0.000953,0.000953,0.000953
26,1476.7,0.84402,0.53179,1.11656,0.87029,0.87648,0.9288,0.72548,0.89949,0.62221,1.15086,0.000940625,0.000940625,0.000940625
27,1530.99,0.84177,0.52102,1.11523,0.90021,0.86734,0.92422,0.72013,0.91064,0.61665,1.15373,0.00092825,0.00092825,0.00092825
28,1585.34,0.82704,0.51868,1.10761,0.93528,0.89002,0.9436,0.74638,0.86944,0.5341,1.12898,0.000915875,0.000915875,0.000915875
29,1639.9,0.82948,0.51744,1.09977,0.90722,0.88312,0.93365,0.74087,0.89168,0.56033,1.14813,0.0009035,0.0009035,0.0009035
30,1694.37,0.822,0.50836,1.10263,0.91973,0.88447,0.9455,0.74832,0.8635,0.52634,1.12016,0.000891125,0.000891125,0.000891125
31,1749,0.81186,0.50695,1.09728,0.92016,0.88501,0.94082,0.74286,0.87285,0.54121,1.13422,0.00087875,0.00087875,0.00087875
32,1803.2,0.80195,0.49178,1.09354,0.86512,0.88589,0.92594,0.7255,0.88577,0.58934,1.14332,0.000866375,0.000866375,0.000866375
33,1857.39,0.80262,0.49297,1.08569,0.91275,0.89642,0.9395,0.74059,0.88223,0.52227,1.13462,0.000854,0.000854,0.000854
34,1911.58,0.78622,0.48094,1.0731,0.88922,0.87772,0.92894,0.74038,0.88505,0.58979,1.14024,0.000841625,0.000841625,0.000841625
35,1965.88,0.79876,0.48331,1.08631,0.92585,0.88483,0.94534,0.7565,0.86065,0.51473,1.12817,0.00082925,0.00082925,0.00082925
36,2020.47,0.78407,0.46948,1.08319,0.92468,0.89403,0.9462,0.75465,0.85151,0.50987,1.11483,0.000816875,0.000816875,0.000816875
37,2074.86,0.78148,0.46786,1.07969,0.89877,0.90381,0.92972,0.70907,0.97869,0.57577,1.1704,0.0008045,0.0008045,0.0008045
38,2129.39,0.78323,0.46169,1.07981,0.92296,0.89618,0.94327,0.74823,0.87905,0.51759,1.1367,0.000792125,0.000792125,0.000792125
39,2183.78,0.77461,0.46265,1.07599,0.90873,0.90558,0.94319,0.75064,0.87889,0.51831,1.13695,0.00077975,0.00077975,0.00077975
40,2237.85,0.75779,0.4547,1.06747,0.91315,0.89951,0.94215,0.75202,0.86706,0.52337,1.13368,0.000767375,0.000767375,0.000767375
41,2292.76,0.74972,0.4419,1.06713,0.90564,0.89298,0.94122,0.75216,0.84424,0.50991,1.12112,0.000755,0.000755,0.000755
42,2349.53,0.74848,0.44703,1.05963,0.92808,0.90556,0.95176,0.76243,0.85224,0.46749,1.13157,0.000742625,0.000742625,0.000742625
43,2405.4,0.74498,0.43972,1.05511,0.89011,0.89421,0.92658,0.73086,0.89337,0.53312,1.14653,0.00073025,0.00073025,0.00073025
44,2461.23,0.74318,0.43395,1.05366,0.89847,0.89738,0.93568,0.74268,0.89713,0.54059,1.16239,0.000717875,0.000717875,0.000717875
45,2517.06,0.73877,0.42629,1.0507,0.90683,0.91408,0.94734,0.75467,0.87873,0.48484,1.14658,0.0007055,0.0007055,0.0007055
46,2572.17,0.74324,0.43283,1.05195,0.92221,0.88662,0.94472,0.7596,0.86564,0.51418,1.13082,0.000693125,0.000693125,0.000693125
47,2627.44,0.73176,0.42147,1.04878,0.92035,0.90672,0.94996,0.75408,0.88832,0.49164,1.13615,0.00068075,0.00068075,0.00068075
48,2682.36,0.72034,0.42158,1.04632,0.90596,0.89761,0.9265,0.7414,0.85609,0.52441,1.14123,0.000668375,0.000668375,0.000668375
49,2738.25,0.72144,0.422,1.04375,0.92437,0.90734,0.9417,0.76033,0.86771,0.50052,1.13881,0.000656,0.000656,0.000656
50,2793.72,0.72386,0.4159,1.04677,0.93266,0.88646,0.94179,0.75935,0.86382,0.49499,1.14211,0.000643625,0.000643625,0.000643625
51,2848.91,0.71275,0.40135,1.03887,0.93603,0.88928,0.93665,0.7537,0.86372,0.50222,1.14707,0.00063125,0.00063125,0.00063125
52,2904.49,0.71015,0.40488,1.03859,0.92175,0.90759,0.94455,0.76711,0.84441,0.48114,1.127,0.000618875,0.000618875,0.000618875
53,2960.47,0.7094,0.40037,1.04287,0.92762,0.8917,0.94116,0.7617,0.84747,0.50541,1.12798,0.0006065,0.0006065,0.0006065
54,3016,0.70242,0.40086,1.03219,0.93934,0.88949,0.94333,0.76195,0.85436,0.4889,1.12675,0.000594125,0.000594125,0.000594125
55,3071.36,0.69477,0.39603,1.02936,0.9138,0.90771,0.94677,0.76015,0.85734,0.48114,1.13873,0.00058175,0.00058175,0.00058175
56,3127.04,0.68586,0.3881,1.02408,0.93723,0.89754,0.9435,0.76612,0.8513,0.48651,1.12955,0.000569375,0.000569375,0.000569375
57,3182.33,0.68063,0.38957,1.02416,0.92001,0.90713,0.94241,0.75188,0.87056,0.47755,1.14923,0.000557,0.000557,0.000557
58,3236.98,0.68787,0.38787,1.02851,0.92676,0.89645,0.94183,0.75688,0.8768,0.49594,1.15781,0.000544625,0.000544625,0.000544625
59,3291.43,0.68538,0.38732,1.02773,0.93333,0.89371,0.94362,0.76699,0.86158,0.4987,1.13951,0.00053225,0.00053225,0.00053225
60,3346.01,0.67777,0.38788,1.02049,0.92313,0.90603,0.94119,0.75795,0.86535,0.50428,1.14454,0.000519875,0.000519875,0.000519875
61,3400.34,0.67517,0.37812,1.01715,0.94056,0.89687,0.94224,0.77158,0.86098,0.49898,1.145,0.0005075,0.0005075,0.0005075
62,3455.32,0.66018,0.37049,1.01097,0.94065,0.89527,0.94037,0.76292,0.87256,0.48903,1.15125,0.000495125,0.000495125,0.000495125
63,3509.72,0.66579,0.37397,1.01508,0.93017,0.89684,0.94773,0.76894,0.85142,0.47302,1.14395,0.00048275,0.00048275,0.00048275
64,3564.45,0.65897,0.37375,1.014,0.93997,0.89381,0.9465,0.7665,0.87036,0.47175,1.16136,0.000470375,0.000470375,0.000470375
65,3619.19,0.6486,0.36549,1.00971,0.93398,0.90606,0.94604,0.76066,0.85739,0.47337,1.14988,0.000458,0.000458,0.000458
66,3673.68,0.65652,0.36806,1.01174,0.92888,0.90364,0.94674,0.76027,0.88855,0.47777,1.17808,0.000445625,0.000445625,0.000445625
67,3728.29,0.64296,0.3587,1.00823,0.93214,0.90322,0.94619,0.76634,0.87301,0.48566,1.15667,0.00043325,0.00043325,0.00043325
68,3782.73,0.63947,0.35602,1.00503,0.93129,0.90934,0.94479,0.76753,0.86139,0.49071,1.14184,0.000420875,0.000420875,0.000420875
69,3837.44,0.64995,0.35867,1.01028,0.92193,0.91261,0.94895,0.77111,0.84811,0.47517,1.13423,0.0004085,0.0004085,0.0004085
70,3893.39,0.63303,0.35496,0.99828,0.94068,0.90806,0.94791,0.77098,0.86511,0.46976,1.15915,0.000396125,0.000396125,0.000396125
71,3949.89,0.6295,0.3497,1.00049,0.91835,0.90332,0.94306,0.77124,0.86147,0.48567,1.14722,0.00038375,0.00038375,0.00038375
72,4005.91,0.62553,0.34493,0.99552,0.9271,0.90648,0.94307,0.77037,0.86255,0.47852,1.15153,0.000371375,0.000371375,0.000371375
73,4062.13,0.6274,0.34868,0.99423,0.92583,0.8981,0.94196,0.77329,0.85337,0.48942,1.1382,0.000359,0.000359,0.000359
74,4120.19,0.61978,0.34313,0.99356,0.92912,0.89802,0.94052,0.77026,0.85929,0.48705,1.15621,0.000346625,0.000346625,0.000346625
75,4178.84,0.6172,0.34498,0.99549,0.92759,0.90625,0.94928,0.78136,0.84643,0.467,1.15038,0.00033425,0.00033425,0.00033425
76,4235.98,0.61331,0.3401,0.99405,0.9352,0.9018,0.94397,0.76583,0.88325,0.4769,1.16974,0.000321875,0.000321875,0.000321875
77,4296.26,0.61517,0.34243,0.99605,0.93178,0.89798,0.94579,0.77198,0.85958,0.47208,1.15586,0.0003095,0.0003095,0.0003095
78,4365.2,0.60401,0.33342,0.98802,0.92333,0.90839,0.94586,0.77602,0.85926,0.48843,1.14854,0.000297125,0.000297125,0.000297125
79,4421.16,0.60334,0.33522,0.98836,0.9363,0.89936,0.94603,0.76704,0.87695,0.467,1.16792,0.00028475,0.00028475,0.00028475
80,4475.95,0.60327,0.33321,0.98661,0.92951,0.90961,0.94401,0.77839,0.84373,0.46522,1.14058,0.000272375,0.000272375,0.000272375
81,4530.88,0.59341,0.32673,0.97778,0.94647,0.90159,0.94981,0.77091,0.86703,0.47095,1.15571,0.00026,0.00026,0.00026
82,4586.2,0.59006,0.32479,0.97966,0.93111,0.90372,0.94766,0.77451,0.85594,0.46687,1.1528,0.000247625,0.000247625,0.000247625
